time_s,measured_position_m,kalman_position_m,kalman_velocity_m_per_s,kalman_acceleration_m_per_s2,moving_average_m
2.780000,1.355429,1.139758,-0.445008,-0.323250,1.180143
2.800000,1.145153,1.131881,-0.449363,-0.321230,1.180376
2.820000,1.022357,1.115225,-0.470535,-0.335362,1.166334
2.840000,0.920316,1.091726,-0.504431,-0.361442,1.151001
2.860000,1.101497,1.083071,-0.508740,-0.358639,1.138328
2.880000,1.004085,1.067636,-0.525975,-0.368308,1.123872
2.900000,1.024771,1.054609,-0.538063,-0.372848,1.121228
2.920000,0.997752,1.040305,-0.552249,-0.379324,1.113683
2.940000,1.024017,1.028795,-0.560590,-0.380052,1.099739
2.960000,1.108958,1.024390,-0.554832,-0.367176,1.090596
2.980000,1.024484,1.014067,-0.560530,-0.365589,1.066256
3.000000,0.987309,1.001620,-0.570101,-0.367769,1.032791
3.020000,0.905068,0.983751,-0.589875,-0.379761,1.010965
3.040000,0.841705,0.962099,-0.616469,-0.398115,0.994542
3.060000,0.924375,0.947789,-0.628125,-0.401686,0.994911
3.080000,0.946417,0.935992,-0.634514,-0.400095,0.980813
3.100000,1.079434,0.934946,-0.619723,-0.378044,0.987663
3.120000,0.935542,0.923457,-0.625377,-0.376199,0.979551
3.140000,0.990699,0.916863,-0.621254,-0.364923,0.978910
3.160000,0.858936,0.900957,-0.635181,-0.371343,0.963902
3.180000,0.790724,0.880870,-0.656829,-0.385118,0.934972
3.200000,0.794791,0.862192,-0.675164,-0.395421,0.914091
3.220000,0.800302,0.844987,-0.690122,-0.402254,0.897090
3.240000,1.014758,0.844875,-0.671364,-0.376271,0.907062
3.260000,0.764769,0.826378,-0.688610,-0.385696,0.900068
3.280000,0.883399,0.817842,-0.685980,-0.375665,0.896343
3.300000,0.729766,0.798479,-0.704336,-0.386181,0.876647
3.320000,0.862046,0.790142,-0.700712,-0.375175,0.856885
3.340000,0.803676,0.778124,-0.704183,-0.371264,0.844897
3.360000,0.745549,0.762585,-0.714297,-0.373872,0.822611
3.380000,0.739859,0.747597,-0.722996,-0.375057,0.811785
3.400000,0.675617,0.728756,-0.738885,-0.383194,0.801321
3.420000,0.748406,0.716488,-0.741510,-0.378306,0.797104
3.440000,0.660881,0.698531,-0.755020,-0.384072,0.784430
3.460000,0.583632,0.675879,-0.777262,-0.398198,0.745236
3.480000,0.563685,0.653015,-0.799326,-0.411877,0.726956
3.500000,0.663807,0.638959,-0.803641,-0.408072,0.706993
3.520000,0.760247,0.633108,-0.791736,-0.388605,0.709764
3.540000,0.630479,0.618191,-0.797569,-0.386724,0.688713
3.560000,0.591789,0.601385,-0.806818,-0.388193,0.669450
3.580000,0.607586,0.586851,-0.811309,-0.385019,0.656908
3.600000,0.672480,0.578189,-0.804132,-0.370588,0.650783
3.620000,0.568671,0.562530,-0.810574,-0.369648,0.641060
3.640000,0.501206,0.542868,-0.824540,-0.376023,0.618588
3.660000,0.605383,0.532230,-0.820521,-0.364832,0.613542
3.680000,0.533821,0.517101,-0.825181,-0.362274,0.609014
3.700000,0.604860,0.508345,-0.817206,-0.347515,0.612757
3.720000,0.478979,0.490960,-0.826045,-0.349347,0.595955
3.740000,0.348522,0.464938,-0.851386,-0.367143,0.558525
3.760000,0.319027,0.438184,-0.877511,-0.385354,0.530211
3.780000,0.542394,0.429687,-0.867455,-0.368132,0.525721
3.800000,0.529893,0.421078,-0.857671,-0.351508,0.518658
3.820000,0.359158,0.400505,-0.871216,-0.357824,0.490174
3.840000,0.324225,0.378605,-0.886938,-0.366128,0.467952
3.860000,0.452996,0.367701,-0.880827,-0.353106,0.463569
3.880000,0.228556,0.340915,-0.905582,-0.370256,0.429312
3.900000,0.226422,0.315516,-0.927014,-0.383853,0.401367
3.920000,0.330186,0.299392,-0.929844,-0.379155,0.376396
3.940000,0.227712,0.276749,-0.945144,-0.386635,0.353554
3.960000,0.239270,0.256383,-0.955570,-0.389245,0.343622
3.980000,0.206845,0.234922,-0.967772,-0.393527,0.333423
4.000000,0.227006,0.216350,-0.973966,-0.391902,0.304752
4.020000,0.292519,0.203959,-0.967877,-0.378403,0.283172
4.040000,0.166927,0.183209,-0.978005,-0.380884,0.265697
4.060000,0.190795,0.165610,-0.981663,-0.377046,0.253567
4.080000,-0.045294,0.131590,-1.017008,-0.403996,0.208268
4.100000,0.094103,0.109892,-1.027569,-0.406402,0.196045
4.120000,0.009662,0.083302,-1.047268,-0.417618,0.176339
4.140000,-0.041425,0.054513,-1.070693,-0.432229,0.142556
4.160000,-0.035372,0.027895,-1.089276,-0.441863,0.118640
4.180000,-0.013210,0.004582,-1.100908,-0.444572,0.095687
4.200000,0.065272,-0.011330,-1.097770,-0.432910,0.082817
4.220000,-0.135791,-0.041034,-1.121307,-0.447334,0.049835
4.240000,-0.049069,-0.062467,-1.128150,-0.445295,0.018782
4.260000,-0.112254,-0.087148,-1.140997,-0.449116,-0.006598
4.280000,-0.121894,-0.110943,-1.151698,-0.450782,-0.035025
4.300000,-0.037779,-0.126866,-1.146732,-0.437226,-0.034342
4.320000,-0.097431,-0.145965,-1.147861,-0.429842,-0.051754
4.340000,-0.056128,-0.160567,-1.140070,-0.413953,-0.057735
4.360000,-0.198280,-0.184560,-1.150502,-0.416040,-0.071994
4.380000,-0.264555,-0.211908,-1.167082,-0.424049,-0.092829
4.400000,-0.249909,-0.236424,-1.177678,-0.426100,-0.114347
4.420000,-0.235880,-0.258255,-1.182691,-0.422696,-0.141725
4.440000,-0.264594,-0.280692,-1.188620,-0.420248,-0.153434
4.460000,-0.389071,-0.310867,-1.209289,-0.432142,-0.184343
4.480000,-0.318841,-0.333921,-1.215567,-0.429849,-0.203124
4.500000,-0.331742,-0.356332,-1.220308,-0.426109,-0.222201
4.520000,-0.172682,-0.365265,-1.198633,-0.396820,-0.234465
4.540000,-0.248172,-0.378767,-1.186093,-0.376960,-0.248169
4.560000,-0.490979,-0.409173,-1.206458,-0.389400,-0.287700
4.580000,-0.470271,-0.436137,-1.219598,-0.394591,-0.312427
4.600000,-0.589075,-0.470209,-1.246124,-0.412668,-0.341929
4.620000,-0.544137,-0.498871,-1.261474,-0.419552,-0.368677
4.640000,-0.496672,-0.522128,-1.265875,-0.415680,-0.392385
4.660000,-0.450652,-0.540289,-1.260137,-0.402049,-0.409299
4.680000,-0.630807,-0.570447,-1.277640,-0.411228,-0.431275
4.700000,-0.650332,-0.600136,-1.293732,-0.418862,-0.461411
4.720000,-0.795463,-0.638751,-1.326674,-0.442693,-0.503567
4.740000,-0.662533,-0.665160,-1.335116,-0.442294,-0.548099
4.760000,-0.760513,-0.697074,-1.353905,-0.451941,-0.594676
4.780000,-0.744035,-0.725722,-1.365815,-0.454726,-0.617681
4.800000,-0.798149,-0.756493,-1.381438,-0.461061,-0.647488
4.820000,-0.762021,-0.782556,-1.387441,-0.457938,-0.663210
4.840000,-0.921738,-0.818716,-1.412747,-0.473606,-0.697538
4.860000,-0.925284,-0.852910,-1.433563,-0.484613,-0.736502
4.880000,-0.664540,-0.865454,-1.411765,-0.454057,-0.755947
4.900000,-0.964994,-0.899101,-1.431174,-0.464079,-0.786327
4.920000,-0.977023,-0.931494,-1.447591,-0.471003,-0.816027
4.940000,-0.769767,-0.946286,-1.429345,-0.444157,-0.813691
4.960000,-0.711915,-0.955308,-1.400080,-0.407139,-0.818180
4.980000,-1.065805,-0.989548,-1.420175,-0.418737,-0.845934
